Transaction,Item,date_time
605,_mm_tv+L,2024-06
606,_tt_A+B100,2024-06
607,_tt_160,2024-06
608,_tt_180,2024-06
609,_tt_180,2024-06
610,_tt_180,2024-06
611,_tt_180,2024-06
612,_tt_180,2024-06
613,_tt_120,2024-06
614,_tt_A+B100,2024-06
615,_tt_200,2024-06
616,_tt_140,2024-06
617,_tt_180,2024-06
618,_tt_140,2024-06
619,_tt_180,2024-06
620,_tt_120,2024-06
621,_tt_160,2024-06
622,_set_tamu_2111,2024-06
623,_meja_tv_150,2024-06
624,_tt_140,2024-06
625,_tt_180,2024-06
626,_tt_160,2024-06
627,_tt_160,2024-06
627,_tt_160,2024-06
629,_tt_180,2024-06
630,_tt_120,2024-06
630,_tt_120,2024-06
631,_tt_180,2024-06
632,_tt_L160L,2024-06
633,_tt_160,2024-06
634,_tt_180,2024-06
635,_tt_160,2024-06
636,_tt_180,2024-06
637,_tt_120,2024-06
638,_tt_160,2024-06
639,_tt_200,2024-06
640,_tt_180,2024-06
641,_tt_L200L,2024-06
642,_tt_160,2024-06
643,_tt_160,2024-06
646,_tt_120,2024-06
